artist_name,track_name,album_name,track_type,streams_total,streams_daily,scraping_date
Damso,COMMENT FAIRE UN TUBE,,solo,5447842,3820,2025-12-16
Damso,La rue est morte.,,solo,5447672,3549,2025-12-16
Damso,MAMILĀH,,solo,5238934,7747,2025-12-16
Damso,Démons - live orchestral,,feat,4328199,1217,2025-12-16
Damso,Best,,feat,4215792,1049,2025-12-16
Damso,DAMSAUTISTE,,solo,4109187,2263,2025-12-16
Damso,MTL,,solo,3985325,30179,2025-12-16
Damso,CHIALER LIVE,,solo,3798378,3161,2025-12-16
Damso,Wanted You to Know,,feat,3777923,983,2025-12-16
Damso,"COSMOS (ma première chanson, j'avais 16 ans)",,solo,3214379,2435,2025-12-16
Damso,,,feat,3198150,799,2025-12-16
Damso,YOUVOI LIVE,,solo,2743351,3556,2025-12-16
Damso,MA PUTAIN,,solo,2696880,2662,2025-12-16
Damso,BROUILLARD,,solo,2545420,2263,2025-12-16
Damso,DEUX TOILES DE MER LIVE,,solo,2372852,3539,2025-12-16
Damso,COEUR EN MIETTES LIVE,,solo,2236331,1535,2025-12-16
Damso,EGO,,solo,2096475,1619,2025-12-16
Damso,ON N'EST JAMAIS MIEUX COMPRIS QUE PAR SOI-MÊME,,solo,2037132,1407,2025-12-16
Damso,VAGABOND,,solo,1453803,1107,2025-12-16
Damso,Démons - live orchestral,,feat,1366813,438,2025-12-16
Damso,DOSE LIVE,,solo,1295097,963,2025-12-16
Damso,LE TALENT NE SUFFIT PAS,,solo,1200576,927,2025-12-16
Damso,CINÉASTE,,solo,1198832,1108,2025-12-16
Damso,Rondo,,solo,1172175,8559,2025-12-16
Damso,Prise de conscience,,solo,1136291,6188,2025-12-16
Damso,BLASE,,solo,1013245,901,2025-12-16
Damso,ISOLER,,solo,905118,699,2025-12-16
